Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
HR: Krapinsko-zagorska županija,HR064,-0.03705349487128501,-0.04100771898552836,-0.02412230392699546,-0.014352978323692674,112,0.75,1.0,1.0,0.75,4
HR: Brodsko-posavska županija,HR024,-0.03677985043653554,-0.04067575470613845,-0.023972308421814664,-0.012882751739550741,116,0.698,0.763,0.243,0.129,1
HR: Virovitičko-podravska županija,HR022,-0.03814907337498806,-0.046623729777331924,-0.026322341398172674,-0.014384200779412736,114,0.746,0.828,0.01,0.006,1
HR: Požeško-slavonska županija,HR023,-0.0363360139368886,-0.040562075163658756,-0.026791178513896518,-0.011956734230278784,115,0.704,0.471,0.065,0.022,1
HR: Dubrovačko-neretvanska županija,HR037,-0.03918253973830674,-0.04767415195592685,-0.024528646350390464,-0.011255772940512084,114,0.702,0.452,0.718,0.228,2
HR: Zadarska županija,HR033,-0.036512427757176835,-0.04271535664329161,-0.02579951209876687,-0.011003297097460884,114,0.702,0.594,0.73,0.304,2
HR: Zagrebačka županija,HR065,-0.0357793562040184,-0.04063062031937342,-0.025149268461718537,-0.013357620296602379,112,0.714,0.908,0.745,0.483,3
HR: Varaždinska županija,HR062,-0.03549497827064933,-0.04395001212792751,-0.022958084180994834,-0.014904536274406813,110,0.755,0.771,0.984,0.573,3
HR: Istarska županija,HR036,-0.030804973656392235,-0.035417075147537766,-0.02204132183555858,-0.011730104831519355,123,0.691,0.931,0.896,0.576,3
HR: Karlovačka županija,HR027,-0.03218375660881224,-0.03570573796704247,-0.022348150264959083,-0.01049132032563619,121,0.661,0.655,0.45,0.195,1
HR: Sisačko-moslavačka županija,HR028,-0.04140582224994142,-0.051788351783872186,-0.02442312396699566,-0.015030539095267947,110,0.755,0.494,0.374,0.139,1
HR: Osječko-baranjska županija,HR025,-0.04210882683823752,-0.052899108501350864,-0.027528392085315146,-0.013403445388606213,111,0.73,1.0,0.508,0.371,2
HR: Primorsko-goranska županija,HR031,-0.039974542489382314,-0.0546006256579486,-0.028807848314494802,-0.012779587090479574,108,0.704,0.519,0.438,0.16,1
HR: Vukovarsko-srijemska županija,HR026,-0.035567295808239974,-0.03893841479206937,-0.025240543956033076,-0.012982835337795168,116,0.733,1.0,0.508,0.372,2
HR: Splitsko-dalmatinska županija,HR035,-0.03770540272383491,-0.050985992475624846,-0.02719537359396254,-0.01210714751660292,110,0.709,0.61,0.849,0.367,2
HR: Šibensko-kninska županija,HR034,-0.03721181678331991,-0.04633350862148114,-0.02535514588588545,-0.016138489052056844,109,0.798,0.7,0.742,0.414,3
HR: Koprivničko-križevačka županija,HR063,-0.041820132741678555,-0.047530657387457785,-0.02854289256816173,-0.016115193401780234,105,0.781,0.876,0.765,0.523,3
HR: Međimurska županija,HR061,-0.03754097920438107,-0.04453285940421262,-0.026960668556443548,-0.01486334610682182,113,0.77,0.985,0.897,0.68,4
HR: Bjelovarsko-bilogorska županija,HR021,-0.03533718049591817,-0.04039838506399482,-0.021902420464468216,-0.012526555805515113,115,0.661,0.922,0.28,0.171,1
HR: Ličko-senjska županija,HR032,-0.03482850618176448,-0.03860016263283185,-0.023937274887435148,-0.014642986154797047,108,0.75,0.601,0.545,0.246,2
HR: Grad Zagreb,HR050,-0.03563150217599419,-0.04371674743116108,-0.023832735274502987,-0.014644416912384856,108,0.759,0.892,0.828,0.561,3
